"name"	"parent_dir"	"type"	"size"
"a84009c25bdd9f41ec01715f925357bea14bdc"	"objects"	"file"	745
"a0"	".git"	"dir"	1235
"660b80d3584f46196f0fb0e4a2264c63966b3e"	"objects"	"file"	1235
"46"	".git"	"dir"	192
"7d22e5e59a873de1f2d1975c1a79de3b4bf379"	"objects"	"file"	192
"a4"	".git"	"dir"	59
"ae79cc459d5a042138a68647c1bf3dd8144295"	"objects"	"file"	59
"a2"	".git"	"dir"	134
"a22552cbeb0699cacb05f0f8e356a2fcf00b68"	"objects"	"file"	134
"index"	"6_hometask_Py I_12.06.2024"	"file"	611
"COMMIT_EDITMSG"	"6_hometask_Py I_12.06.2024"	"file"	11
"logs"	"6_hometask_Py I_12.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 7. Погружение в Python. Файлы и файловая система.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2437959
"Лекция 7. Погружение в Python. Файлы и файловая система.docx.pdf"	"Погружение в Python. Часть 1"	"file"	473280
"seminar 7_1.py"	"Погружение в Python. Часть 1"	"file"	764
"seminar 7_2.py"	"Погружение в Python. Часть 1"	"file"	1069
"seminar 7_3.py"	"Погружение в Python. Часть 1"	"file"	1766
"seminar 7_4.py"	"Погружение в Python. Часть 1"	"file"	821
"seminar 7_5.py"	"Погружение в Python. Часть 1"	"file"	971
"seminar 7_6.py"	"Погружение в Python. Часть 1"	"file"	1629
"seminar 7_7.py"	"Погружение в Python. Часть 1"	"file"	1053
"test_seminar7"	"Погружение в Python. Часть 1"	"dir"	8504
"video"	"Погружение в Python. Часть 1"	"dir"	0
"images"	"Погружение в Python. Часть 1"	"dir"	7960
"p3x_89s_a2655km0peb.jpeg"	"test_seminar7"	"file"	1422
"tp07dtq_6nt6fg7x.jpeg"	"test_seminar7"	"file"	2763
"u4me_drhsuf4h6o30br6r_qu.jpeg"	"test_seminar7"	"file"	3775
"numbers1.txt"	"Погружение в Python. Часть 1"	"file"	256
"names1.txt"	"Погружение в Python. Часть 1"	"file"	75
"result1.txt"	"Погружение в Python. Часть 1"	"file"	213
"7_hometask_Py I_20.06.2024"	"Погружение в Python. Часть 1"	"dir"	46230
"Package_seminar_7"	"Погружение в Python. Часть 1"	"dir"	11105
"fill_the_file.py"	"7_hometask_Py I_20.06.2024"	"file"	792
"generate_name.py"	"7_hometask_Py I_20.06.2024"	"file"	1096
"sum_files.py"	"7_hometask_Py I_20.06.2024"	"file"	1810
"generate_files_simple.py"	"7_hometask_Py I_20.06.2024"	"file"	846
"generate_files_advance.py"	"7_hometask_Py I_20.06.2024"	"file"	1015
"generate_files_to_directory.py"	"7_hometask_Py I_20.06.2024"	"file"	1662
"sort_files.py"	"7_hometask_Py I_20.06.2024"	"file"	1249
"rename_files.py"	"7_hometask_Py I_20.06.2024"	"file"	2270
"__init__.py"	"7_hometask_Py I_20.06.2024"	"file"	365
".git"	"Погружение в Python. Часть 1"	"dir"	35125
"description"	"7_hometask_Py I_20.06.2024"	"file"	73
"hooks"	"7_hometask_Py I_20.06.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"7_hometask_Py I_20.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"7_hometask_Py I_20.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"7_hometask_Py I_20.06.2024"	"file"	21
"config"	"7_hometask_Py I_20.06.2024"	"file"	322
"objects"	"7_hometask_Py I_20.06.2024"	"dir"	6430
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"55"	".git"	"dir"	247
"58296f3d0d4ec602c4e8611e86c7658d09ee35"	"objects"	"file"	247
"fd"	".git"	"dir"	508
"61e0edeb289e783dd68ae994f9dfac3ac9f7e9"	"objects"	"file"	508
"ca"	".git"	"dir"	554
"32fb0d5bdd01eb4b9fa19eb2f3d7ad0c85e513"	"objects"	"file"	554
"5b"	".git"	"dir"	493
"5b21164f7470c18bcdd872c640898d64675061"	"objects"	"file"	493
"0b"	".git"	"dir"	885
"90640f407c7fccc29e05d08af949377b5348ce"	"objects"	"file"	885
"e4"	".git"	"dir"	626
"377c51c58f1143fe0c8244ccb886d9e6e40457"	"objects"	"file"	626
"f9"	".git"	"dir"	1046
"9372d47709399b4ee92786f5a035c5b3a6dfe4"	"objects"	"file"	1046
"f1"	".git"	"dir"	687
"c87db5c440ee50b83059ae21b6c2352278d524"	"objects"	"file"	687
"11"	".git"	"dir"	870
"f9654aa08a956cc636bf0de3ec109a9c597c58"	"objects"	"file"	870
"8c"	".git"	"dir"	320
"2bdca5ded66667671afcd05e7e06c2acce48e7"	"objects"	"file"	320
"ad"	".git"	"dir"	59
